System Fixation time;Fixation Event;X Fixation Data; Y Fixation Data 
1587052503685;Fixation begin;7745;2190
1587052503695;Fixation data;7745;2189
1587052503708;Fixation begin;7746;2185
1587052503717;Fixation data;7756;2187
1587052503729;Fixation data;7764;2189
1587052503763;Fixation begin;7733;2177
1587052503774;Fixation data;7732;2176
1587052503785;Fixation data;7728;2173
1587052503796;Fixation data;7729;2172
1587052503807;Fixation data;7731;2177
1587052503830;Fixation begin;8020;2180
1587052503841;Fixation end;;
1587052503862;Fixation begin;8483;2152
1587052503873;Fixation begin;8503;2154
1587052503884;Fixation data;8508;2154
1587052503896;Fixation begin;8522;2161
1587052503907;Fixation data;8525;2162
1587052503917;Fixation end;;
1587052503929;Fixation begin;8429;2175
1587052503940;Fixation data;8457;2165
1587052503951;Fixation begin;8491;2153
1587052503963;Fixation data;8493;2154
1587052503974;Fixation begin;8486;2155
1587052503984;Fixation data;8489;2155
1587052503996;Fixation data;8492;2153
1587052504007;Fixation data;8499;2147
1587052504018;Fixation data;8498;2146
1587052504030;Fixation data;8493;2150
1587052504041;Fixation data;8491;2156
1587052504051;Fixation data;8506;2159
1587052504062;Fixation data;8528;2156
1587052504073;Fixation data;8538;2154
1587052504083;Fixation data;8535;2152
1587052504096;Fixation data;8527;2149
1587052504107;Fixation data;8517;2150
1587052504117;Fixation data;8511;2151
1587052504130;Fixation data;8511;2152
1587052504140;Fixation data;8521;2149
1587052504151;Fixation data;8528;2146
1587052504163;Fixation data;8518;2151
1587052504174;Fixation data;8498;2160
1587052504184;Fixation begin;8473;2175
1587052504196;Fixation data;8475;2169
1587052504207;Fixation data;8482;2160
1587052504217;Fixation data;8484;2155
